year,city,country,avg_temp
1841,Taipei,Taiwan,21.35
1842,Taipei,Taiwan,21.73
1843,Taipei,Taiwan,21.82
1844,Taipei,Taiwan,21.47
1845,Taipei,Taiwan,21.57
1846,Taipei,Taiwan,22.09
1847,Taipei,Taiwan,21.86
1848,Taipei,Taiwan,21.36
1849,Taipei,Taiwan,21.68
1850,Taipei,Taiwan,21.88
1851,Taipei,Taiwan,21.85
1852,Taipei,Taiwan,21.89
1853,Taipei,Taiwan,22.22
1854,Taipei,Taiwan,22.22
1855,Taipei,Taiwan,21.89
1856,Taipei,Taiwan,21.54
1857,Taipei,Taiwan,21.94
1858,Taipei,Taiwan,21.67
1859,Taipei,Taiwan,21.87
1860,Taipei,Taiwan,21.70
1861,Taipei,Taiwan,21.65
1862,Taipei,Taiwan,20.86
1863,Taipei,Taiwan,21.44
1864,Taipei,Taiwan,21.25
1865,Taipei,Taiwan,22.16
1866,Taipei,Taiwan,21.84
1867,Taipei,Taiwan,21.71
1868,Taipei,Taiwan,22.16
1869,Taipei,Taiwan,22.22
1870,Taipei,Taiwan,22.28
1871,Taipei,Taiwan,22.34
1872,Taipei,Taiwan,22.28
1873,Taipei,Taiwan,21.90
1874,Taipei,Taiwan,22.04
1875,Taipei,Taiwan,21.73
1876,Taipei,Taiwan,21.58
1877,Taipei,Taiwan,21.98
1878,Taipei,Taiwan,22.03
1879,Taipei,Taiwan,22.21
1880,Taipei,Taiwan,21.54
1881,Taipei,Taiwan,21.82
1882,Taipei,Taiwan,21.67
1883,Taipei,Taiwan,21.61
1884,Taipei,Taiwan,21.16
1885,Taipei,Taiwan,21.32
1886,Taipei,Taiwan,21.16
1887,Taipei,Taiwan,21.78
1888,Taipei,Taiwan,22.19
1889,Taipei,Taiwan,21.89
1890,Taipei,Taiwan,22.21
1891,Taipei,Taiwan,21.83
1892,Taipei,Taiwan,21.75
1893,Taipei,Taiwan,21.44
1894,Taipei,Taiwan,22.00
1895,Taipei,Taiwan,21.62
1896,Taipei,Taiwan,22.04
1897,Taipei,Taiwan,22.26
1898,Taipei,Taiwan,22.23
1899,Taipei,Taiwan,21.73
1900,Taipei,Taiwan,22.07
1901,Taipei,Taiwan,21.56
1902,Taipei,Taiwan,22.17
1903,Taipei,Taiwan,21.68
1904,Taipei,Taiwan,21.57
1905,Taipei,Taiwan,21.98
1906,Taipei,Taiwan,22.24
1907,Taipei,Taiwan,21.91
1908,Taipei,Taiwan,22.05
1909,Taipei,Taiwan,22.36
1910,Taipei,Taiwan,21.93
1911,Taipei,Taiwan,22.00
1912,Taipei,Taiwan,22.03
1913,Taipei,Taiwan,22.05
1914,Taipei,Taiwan,22.28
1915,Taipei,Taiwan,22.60
1916,Taipei,Taiwan,22.27
1917,Taipei,Taiwan,21.19
1918,Taipei,Taiwan,21.59
1919,Taipei,Taiwan,21.98
1920,Taipei,Taiwan,22.02
1921,Taipei,Taiwan,21.90
1922,Taipei,Taiwan,22.11
1923,Taipei,Taiwan,21.91
1924,Taipei,Taiwan,21.90
1925,Taipei,Taiwan,21.57
1926,Taipei,Taiwan,21.80
1927,Taipei,Taiwan,21.69
1928,Taipei,Taiwan,22.05
1929,Taipei,Taiwan,22.01
1930,Taipei,Taiwan,22.43
1931,Taipei,Taiwan,22.39
1932,Taipei,Taiwan,21.94
1933,Taipei,Taiwan,22.24
1934,Taipei,Taiwan,21.86
1935,Taipei,Taiwan,22.26
1936,Taipei,Taiwan,21.98
1937,Taipei,Taiwan,22.58
1938,Taipei,Taiwan,22.49
1939,Taipei,Taiwan,21.88
1940,Taipei,Taiwan,21.99
1941,Taipei,Taiwan,22.73
1942,Taipei,Taiwan,22.56
1943,Taipei,Taiwan,22.13
1944,Taipei,Taiwan,22.24
1945,Taipei,Taiwan,21.96
1946,Taipei,Taiwan,22.82
1947,Taipei,Taiwan,22.01
1948,Taipei,Taiwan,22.56
1949,Taipei,Taiwan,22.57
1950,Taipei,Taiwan,22.27
1951,Taipei,Taiwan,22.52
1952,Taipei,Taiwan,22.88
1953,Taipei,Taiwan,22.76
1954,Taipei,Taiwan,22.94
1955,Taipei,Taiwan,22.27
1956,Taipei,Taiwan,22.46
1957,Taipei,Taiwan,22.40
1958,Taipei,Taiwan,22.55
1959,Taipei,Taiwan,22.80
1960,Taipei,Taiwan,22.78
1961,Taipei,Taiwan,22.79
1962,Taipei,Taiwan,22.22
1963,Taipei,Taiwan,22.21
1964,Taipei,Taiwan,22.69
1965,Taipei,Taiwan,22.38
1966,Taipei,Taiwan,22.86
1967,Taipei,Taiwan,22.24
1968,Taipei,Taiwan,21.93
1969,Taipei,Taiwan,22.32
1970,Taipei,Taiwan,22.39
1971,Taipei,Taiwan,22.27
1972,Taipei,Taiwan,22.33
1973,Taipei,Taiwan,22.73
1974,Taipei,Taiwan,22.47
1975,Taipei,Taiwan,22.59
1976,Taipei,Taiwan,22.22
1977,Taipei,Taiwan,22.95
1978,Taipei,Taiwan,22.50
1979,Taipei,Taiwan,22.61
1980,Taipei,Taiwan,22.70
1981,Taipei,Taiwan,22.43
1982,Taipei,Taiwan,22.47
1983,Taipei,Taiwan,22.79
1984,Taipei,Taiwan,22.20
1985,Taipei,Taiwan,22.45
1986,Taipei,Taiwan,22.13
1987,Taipei,Taiwan,22.79
1988,Taipei,Taiwan,22.68
1989,Taipei,Taiwan,22.50
1990,Taipei,Taiwan,22.81
1991,Taipei,Taiwan,22.91
1992,Taipei,Taiwan,22.39
1993,Taipei,Taiwan,22.77
1994,Taipei,Taiwan,23.12
1995,Taipei,Taiwan,22.44
1996,Taipei,Taiwan,22.67
1997,Taipei,Taiwan,22.86
1998,Taipei,Taiwan,23.78
1999,Taipei,Taiwan,23.04
2000,Taipei,Taiwan,23.10
2001,Taipei,Taiwan,23.15
2002,Taipei,Taiwan,23.45
2003,Taipei,Taiwan,23.22
2004,Taipei,Taiwan,22.93
2005,Taipei,Taiwan,22.78
2006,Taipei,Taiwan,23.38
2007,Taipei,Taiwan,23.38
2008,Taipei,Taiwan,23.02
2009,Taipei,Taiwan,23.14
2010,Taipei,Taiwan,23.00
2011,Taipei,Taiwan,22.55
2012,Taipei,Taiwan,22.82
2013,Taipei,Taiwan,23.24
